"geoid","geography","name","short_name","latitude","longitude","child_poverty_family_married_couple","child_poverty_family_unmarried_male","child_poverty_family_unmarried_female"
"50","state_vt","Vermont","Vermont",NA,NA,5.5,14.3,39.4
"50001","county","Addison County, Vermont","Addison",44.031248,-73.141581,3.6,10.2,25.8
"50003","county","Bennington County, Vermont","Bennington",43.035325,-73.11146,6.1,17.6,37.4
"50005","county","Caledonia County, Vermont","Caledonia",44.468791,-72.112168,4,45.5,43.3
"50007","county","Chittenden County, Vermont","Chittenden",44.460676,-73.070525,5.5,8.2,40
"50009","county","Essex County, Vermont","Essex",44.724021,-71.732736,10,18.5,45.2
"50011","county","Franklin County, Vermont","Franklin",44.858964,-72.909402,2,1.7,30.4
"50013","county","Grand Isle County, Vermont","Grand Isle",44.801788,-73.300758,0.6,14.5,29.9
"50015","county","Lamoille County, Vermont","Lamoille",44.603504,-72.638356,11.9,12.5,61.7
"50017","county","Orange County, Vermont","Orange",44.003392,-72.369687,8.4,9.7,39
"50019","county","Orleans County, Vermont","Orleans",44.828442,-72.25163,8.8,16.1,28.5
"50021","county","Rutland County, Vermont","Rutland",43.580844,-73.038196,5,6.5,48.5
"50023","county","Washington County, Vermont","Washington",44.274953,-72.609475,4.5,27.7,40.5
"50025","county","Windham County, Vermont","Windham",42.999143,-72.716335,8.2,14.7,40.7
"50027","county","Windsor County, Vermont","Windsor",43.588143,-72.591515,4.8,19,38.8
