"geoid","geography","name","short_name","latitude","longitude","age_under18","age_18_24","age_25_34","age_35_54","age_55_64","age_over65"
"1","us","United States","United States",NA,NA,22.4,9.4,13.9,25.4,12.9,16
"50","state_vt","Vermont","Vermont",NA,NA,18.4,10.4,12,24.1,15.3,19.8
"50001","county","Addison County, Vermont","Addison",44.031248,-73.141581,17.5,13.6,10,24.7,15.7,18.5
"50003","county","Bennington County, Vermont","Bennington",43.035325,-73.11146,19.3,9.5,9.3,23.8,16.1,22
"50005","county","Caledonia County, Vermont","Caledonia",44.468791,-72.112168,19.7,9.1,10.6,25,16.2,19.3
"50007","county","Chittenden County, Vermont","Chittenden",44.460676,73.070525,18.2,16.2,13.9,24.4,13.1,14.1
"50009","county","Essex County, Vermont","Essex",44.724021,-71.732736,17.9,6.1,8.5,24.9,18,24.6
"50011","county","Franklin County, Vermont","Franklin",44.858964,-72.909402,22.7,7.8,12.5,27.4,14.7,14.9
"50013","county","Grand Isle County, Vermont","Grand Isle",44.801788,-73.300758,17.7,7.3,10.3,26.2,19.1,19.4
"50015","county","Lamoille County, Vermont","Lamoille",44.603504,-72.638356,20.8,9.4,12.4,26.6,14.7,16.1
"50017","county","Orange County, Vermont","Orange",44.003392,-72.369687,18.8,8.2,10.5,25.5,17.3,19.6
"50019","county","Orleans County, Vermont","Orleans",44.828442,-72.25163,19.6,7.2,10.9,24.9,15.7,21.7
"50021","county","Rutland County, Vermont","Rutland",43.580844,-73.038196,17.9,9.6,10.5,24.4,16.9,20.7
"50023","county","Washington County, Vermont","Washington",44.274953,-72.609475,19.2,9.3,11,26.6,15.4,18.5
"50025","county","Windham County, Vermont","Windham",42.999143,-72.716335,18.4,7.9,10.9,24.3,17.5,21
"50027","county","Windsor County, Vermont","Windsor",43.588143,-72.591515,18.5,6.3,11,25.1,17.2,22
