"geoid","geography","name","short_name","latitude","longitude","poverty_level_below_050","poverty_level_050_099","poverty_level_100_124","poverty_level_125_149","poverty_level_150_184","poverty_level_185_199","poverty_level_above_200","poverty_level_above_100","poverty_level_below_100"
"5000183800","county subdivision","Whiting town, Addison County, Vermont","Whiting",43.8764212,-73.2125363,5.2,13.1,4.1,1.5,6.4,1.2,68.6,81.8,18.3
"5000129575","county subdivision","Granville town, Addison County, Vermont","Granville",44.0052914,-72.8413144,8,5.7,4.5,11.1,3.1,4.5,63.1,86.3,13.7
"5000174650","county subdivision","Vergennes city, Addison County, Vermont","Vergennes",44.1676604,-73.2553163,4.8,5.1,7.8,2.5,4.5,4.1,71.2,90.1,9.9
"5000170075","county subdivision","Starksboro town, Addison County, Vermont","Starksboro",44.2102844,-72.9934529,6.9,5.3,4.3,0.8,2.8,2.6,77.4,87.9,12.2
"5000109025","county subdivision","Bristol town, Addison County, Vermont","Bristol",44.0978095,-73.0485314,6.4,1.8,7,1.9,8.3,3.7,71,91.9,8.2
"5000144350","county subdivision","Middlebury town, Addison County, Vermont","Middlebury",44.0018997,-73.1190475,4.4,5.9,3.5,4.3,6.6,4.4,70.8,89.6,10.3
"5000140075","county subdivision","Lincoln town, Addison County, Vermont","Lincoln",44.0929248,-72.9735212,3,6.1,4.4,3,4.6,2,76.8,90.8,9.1
"5000153725","county subdivision","Orwell town, Addison County, Vermont","Orwell",43.8090987,-73.2779922,3.5,3.8,6.1,3.7,8.7,1.1,73.1,92.7,7.3
"5000159650","county subdivision","Ripton town, Addison County, Vermont","Ripton",43.9849365,-72.9967754,1.7,11,0.6,17.1,1.3,0.7,67.7,87.4,12.7
"5000165050","county subdivision","Shoreham town, Addison County, Vermont","Shoreham",43.8992426,-73.3153144,6.2,3.9,2.4,3.1,5.1,0.8,78.5,89.9,10.1
"5000131525","county subdivision","Hancock town, Addison County, Vermont","Hancock",43.9053287,-72.918171,5,5.9,0.6,2.8,0.6,7.4,77.7,89.1,10.9
"5000139325","county subdivision","Leicester town, Addison County, Vermont","Leicester",43.8745281,-73.0997492,3.7,4.6,3,1.9,4.7,1.5,80.5,91.6,8.3
"5000108575","county subdivision","Bridport town, Addison County, Vermont","Bridport",43.9817242,-73.3319365,3,6.4,1.4,3.9,4.9,4.7,75.7,90.6,9.4
"5000162575","county subdivision","Salisbury town, Addison County, Vermont","Salisbury",43.9254949,-73.1115282,4.5,3.7,0.9,5.1,12.8,0.3,72.8,91.9,8.2
"5000128600","county subdivision","Goshen town, Addison County, Vermont","Goshen",43.864713,-72.9901335,0,5.2,3,7.5,6.7,4.5,73.1,94.8,5.2
"5000176075","county subdivision","Waltham town, Addison County, Vermont","Waltham",44.1239371,-73.2293622,2.9,4.2,0.9,1.1,2.9,1.1,86.9,92.9,7.1
"5000148700","county subdivision","New Haven town, Addison County, Vermont","New Haven",44.1049674,-73.1657672,2.7,2,1.3,1.4,4.8,1,86.8,95.3,4.7
"5000183275","county subdivision","Weybridge town, Addison County, Vermont","Weybridge",44.0403287,-73.2227845,3.5,1.2,0.2,2.8,7,0.5,84.9,95.4,4.7
"5000100325","county subdivision","Addison town, Addison County, Vermont","Addison",44.0585392,-73.3323146,0.5,2.8,1.5,0.8,2.7,3.2,88.4,96.6,3.3
"5000116000","county subdivision","Cornwall town, Addison County, Vermont","Cornwall",43.9629183,-73.2177012,1.7,1.2,1.4,0.6,3.5,2.5,89.1,97.1,2.9
"5000153950","county subdivision","Panton town, Addison County, Vermont","Panton",44.1304184,-73.3401912,2,0.9,0.9,2.1,11.5,3.1,79.4,97,2.9
"5000126300","county subdivision","Ferrisburgh town, Addison County, Vermont","Ferrisburgh",44.2031331,-73.2791964,0.6,2.3,0.7,2.3,4.2,2.6,87.3,97.1,2.9
"5000145550","county subdivision","Monkton town, Addison County, Vermont","Monkton",44.2270403,-73.1317208,0.8,0.9,1.8,3.9,5.8,0.8,86,98.3,1.7
