"geoid","geography","name","short_name","latitude","longitude","poverty_belowe","poverty_rate_total","poverty_rate_deep","poverty_rate_race_white","poverty_rate_race_black","poverty_rate_race_nhpi_amind","poverty_rate_race_asian","poverty_rate_race_other","poverty_rate_race_twoplus","poverty_rate_race_hispanic","child_poverty_rate_total","child_poverty_rate_deep","child_poverty_family_married_couple","child_poverty_family_unmarried_male","child_poverty_family_unmarried_female"
"50001","county","Addison County, Vermont","Addison",44.031248,-73.141581,2631,7.7,3.8,7.8,2.7,16.2,0,10.5,11.5,10.6,9,5.4,3.6,10.2,25.8
"50003","county","Bennington County, Vermont","Bennington",43.035325,-73.11146,3892,11.3,4.4,11,59.4,5.8,8.2,0,13.7,27.5,15.5,5.8,6.1,17.6,37.4
"50005","county","Caledonia County, Vermont","Caledonia",44.468791,-72.112168,3611,12.3,5,11.3,50.3,62.3,51.7,14.8,21.6,27.4,16.4,7.2,4,45.5,43.3
"50007","county","Chittenden County, Vermont","Chittenden",44.460676,73.070525,17916,11.8,5.7,10.7,25.5,12.6,16.4,16.5,20.7,20.2,12.9,5.3,5.5,8.2,40
"50009","county","Essex County, Vermont","Essex",44.724021,-71.732736,904,14.6,5.1,13.5,100,65,17.1,73.3,12.4,13.3,20.2,9.3,10,18.5,45.2
"50011","county","Franklin County, Vermont","Franklin",44.858964,-72.909402,3740,7.7,3.2,7.6,0,5.3,0.6,0,19.3,3.4,7.4,3.5,2,1.7,30.4
"50013","county","Grand Isle County, Vermont","Grand Isle",44.801788,-73.300758,528,7.6,3.5,8.1,0,0,0,0,3.1,0,10,5.5,0.6,14.5,29.9
"50015","county","Lamoille County, Vermont","Lamoille",44.603504,-72.638356,3574,14.5,7.3,14.2,20.2,10.6,0,0,38.4,23.8,21.6,12.1,11.9,12.5,61.7
"50017","county","Orange County, Vermont","Orange",44.003392,-72.369687,3064,10.8,4.2,10.7,15.5,13.7,0,42.9,9,13,15.2,6.6,8.4,9.7,39
"50019","county","Orleans County, Vermont","Orleans",44.828442,-72.25163,3641,14,4.8,14,8.9,10.7,10.9,0,23.1,2.1,14.5,4.4,8.8,16.1,28.5
"50021","county","Rutland County, Vermont","Rutland",43.580844,-73.038196,6100,10.7,4,10.6,9.1,20.8,0,11.4,21,14.5,13.8,4.3,5,6.5,48.5
"50023","county","Washington County, Vermont","Washington",44.274953,-72.609475,6407,11.4,5.2,10.7,23.4,26.3,20.9,43.9,26.4,21.8,17.4,8.9,4.5,27.7,40.5
"50025","county","Windham County, Vermont","Windham",42.999143,-72.716335,5574,13.4,6,12.9,37.2,18.3,45.1,28.2,14.2,6.7,18.4,9.8,8.2,14.7,40.7
"50027","county","Windsor County, Vermont","Windsor",43.588143,-72.591515,5452,10,4.8,9.6,9.9,33.3,3.6,5.6,26.3,13.7,14.2,7,4.8,19,38.8
